date,type,total,pct
2020-03-31,bridgetunnel,337626,-66.8285714285714
2020-03-31,bus,514300,-75.71428571428568
2020-03-31,citibike,15022,-71.57142857142878
2020-03-31,subway,509149,-90.58571428571433
2020-04-01,bridgetunnel,342222,-66.81428571428569
2020-04-01,bus,495400,-75.99999999999997
2020-04-01,citibike,20423,-67.54285714285734
2020-04-01,lirr,10500,NA
2020-04-01,metronorth,13600,NA
2020-04-01,subway,514201,-90.81428571428576
2020-04-02,bridgetunnel,339734,-66.9285714285714
2020-04-02,bus,472700,-76.14285714285711
2020-04-02,citibike,19051,-65.0000000000002
2020-04-02,lirr,10100,NA
2020-04-02,metronorth,13700,NA
2020-04-02,subway,486468,-91.18571428571433
2020-04-03,bridgetunnel,340273,-67.14285714285711
2020-04-03,bus,483800,-76.85714285714283
2020-04-03,citibike,11347,-63.28571428571449
2020-04-03,lirr,9700,NA
2020-04-03,metronorth,13200,NA
2020-04-03,subway,484200,-91.44285714285718
2020-04-04,bridgetunnel,243323,-67.2285714285714
2020-04-04,bus,383400,-77.28571428571425
2020-04-04,citibike,28935,-62.42857142857163
2020-04-04,lirr,3700,-97
2020-04-04,metronorth,8100,-95
2020-04-04,subway,282703,-91.61428571428576
2020-04-05,bridgetunnel,209152,-67.58571428571426
2020-04-05,bus,299600,-77.71428571428568
2020-04-05,citibike,25810,-62.35714285714306
2020-04-05,lirr,3000,-97
2020-04-05,metronorth,5600,-95
2020-04-05,subway,227603,-91.81428571428576
2020-04-06,bridgetunnel,335769,-68.09999999999997
2020-04-06,bus,454900,-78.14285714285711
2020-04-06,citibike,24712,-63.44285714285735
2020-04-06,lirr,10100,-97
2020-04-06,metronorth,14400,-95.14285714285714
2020-04-06,subway,446273,-91.98571428571432
2020-04-07,bridgetunnel,335470,-68.59999999999997
2020-04-07,bus,441000,-78.57142857142854
2020-04-07,citibike,23691,-61.971428571428774
2020-04-07,lirr,9300,-97
2020-04-07,metronorth,14100,-95.14285714285714
2020-04-07,subway,435718,-92.20000000000005
2020-04-08,bridgetunnel,324882,-68.47142857142853
2020-04-08,bus,431700,-78.57142857142854
2020-04-08,citibike,20793,-60.914285714285924
2020-04-08,lirr,9000,-97.14285714285714
2020-04-08,metronorth,13500,-95.14285714285714
2020-04-08,subway,428206,-92.31428571428576
2020-04-09,bridgetunnel,303481,-68.15714285714283
2020-04-09,bus,401900,-78.85714285714283
2020-04-09,citibike,14224,-59.37142857142878
2020-04-09,lirr,8400,-97.28571428571429
2020-04-09,metronorth,12900,-95.14285714285714
2020-04-09,subway,405325,-92.47142857142862
2020-04-10,bridgetunnel,314100,-68.95714285714283
2020-04-10,bus,414100,-79.42857142857139
2020-04-10,citibike,16318,-63.8000000000002
2020-04-10,lirr,8200,-97.28571428571429
2020-04-10,metronorth,13000,-95.14285714285714
2020-04-10,subway,400947,-92.68571428571433
2020-04-11,bridgetunnel,254755,-68.8285714285714
2020-04-11,bus,378200,-79.28571428571425
2020-04-11,citibike,33255,-63.42857142857164
2020-04-11,lirr,2700,-97.28571428571429
2020-04-11,metronorth,7600,-95.14285714285714
2020-04-11,subway,257467,-92.72857142857147
2020-04-12,bridgetunnel,217871,-68.69999999999996
2020-04-12,bus,279100,-79.14285714285711
2020-04-12,citibike,31646,-63.12857142857164
2020-04-12,lirr,2200,-97.28571428571429
2020-04-12,metronorth,5100,-95.14285714285714
2020-04-12,subway,198693,-92.77142857142861
2020-04-13,bridgetunnel,284609,-68.21428571428568
2020-04-13,bus,347800,-78.71428571428568
2020-04-13,citibike,7823,-61.914285714285924
2020-04-13,lirr,8200,-97.28571428571429
2020-04-13,metronorth,13000,-95
2020-04-13,subway,363961,-92.7571428571429
2020-04-14,bridgetunnel,356104,-67.09999999999997
2020-04-14,bus,470900,-77.57142857142854
2020-04-14,citibike,25371,-61.14285714285735
2020-04-14,lirr,8800,-97.28571428571429
2020-04-14,metronorth,14100,-95
2020-04-14,subway,430946,-92.4571428571429
2020-04-15,bridgetunnel,340213,-66.62857142857139
2020-04-15,bus,454100,-77.28571428571425
2020-04-15,citibike,22247,-65.41428571428592
2020-04-15,lirr,8600,-97.28571428571429
2020-04-15,metronorth,13800,-95
2020-04-15,subway,419851,-92.28571428571432
2020-04-16,bridgetunnel,346342,-65.79999999999995
2020-04-16,bus,447000,-76.71428571428568
2020-04-16,citibike,19612,-61.3000000000002
2020-04-16,lirr,8500,-97.28571428571429
2020-04-16,metronorth,13800,-94.85714285714286
2020-04-16,subway,421013,-92.05714285714289
2020-04-17,bridgetunnel,378350,-64.49999999999997
2020-04-17,bus,470300,-75.14285714285711
2020-04-17,citibike,18942,-57.61428571428592
2020-04-17,lirr,8300,-97.28571428571429
2020-04-17,metronorth,13500,-94.85714285714286
2020-04-17,subway,433106,-91.71428571428575
2020-04-18,bridgetunnel,254735,-64.41428571428568
2020-04-18,bus,352000,-74.85714285714283
2020-04-18,citibike,15939,-59.471428571428774
2020-04-18,lirr,2400,-97.28571428571429
2020-04-18,metronorth,7200,-94.85714285714286
2020-04-18,subway,254792,-91.64285714285718
2020-04-19,bridgetunnel,276406,-63.38571428571425
2020-04-19,bus,318100,-73.85714285714283
2020-04-19,citibike,47172,-59.157142857143064
2020-04-19,lirr,2200,-97.28571428571429
2020-04-19,metronorth,6000,-94.85714285714286
2020-04-19,subway,224751,-91.42857142857147
2020-04-20,bridgetunnel,371776,-62.45714285714282
2020-04-20,bus,498700,-73.14285714285711
2020-04-20,citibike,21929,-59.25714285714306
2020-04-20,lirr,8900,-97.28571428571429
2020-04-20,metronorth,14800,-94.85714285714286
2020-04-20,subway,438622,-91.2571428571429
2020-04-21,bridgetunnel,356099,-61.928571428571395
2020-04-21,bus,450900,-73.14285714285711
2020-04-21,citibike,17080,-61.11428571428592
2020-04-21,lirr,8300,-97.28571428571429
